name,state,city,address,city_location,latitude,longitude
PARAM POOJYA SHREE RAMKRISHNA SARASWATI GURUKUL,MAHARASHTRA,CHENNAI,"AT-UMALE, POST-DHANWAD,","(13.0825, 80.275)",13.145874,80.252476
RANI PUBLIC SCHOOL,KERALA,TRIVANDRUM,"PO CHORODE VIA VADAKARA DISTT KOZHIKODE, KERALA","(8.5241, 76.9366)",8.553072,77.036251
MANAV SEHYOG SCHOOL,PUNJAB,PANCHKULA,"VILLAGE SHAHPUR , V.P.O. UDOPUR , VIA JAMSHER , JALANDHAR PUNJAB","(30.74, 76.8)",30.784587,76.732302
GOVT BOYS SR SEC SCHOOL,DELHI,DELHI,(CHANDER NAGAR) C BLOCK KRISHAN NAGAR DELHI,"(28.61, 77.23)",28.526041,77.15408
"GOVT. SEC. SCHOOL, GANGA P.O",ARUNACHAL PRADESH,GUWAHATI,"RK MISSION, ITANAGAGAR DIST. PAPUMPARE, ARUNACHAL PRADESH","(26.1722, 91.7458)",26.219814,91.723503
ST. V.S. PUBLIC SCHOOL,UTTAR PRADESH,ALLAHABAD,"C-2, SHASTRI PURAM AGRA","(25.4358, 81.8463)",25.439685,81.823082
DAV PUBLIC SCHOOL,BIHAR,PATNA,CANTT ROAD KHAGAUL CAMPUS PATNA BIHAR,"(25.6, 85.1)",25.535699,85.140768
SHEMROCK JAGAT SR SEC SCHOOL,DELHI,DELHI,GURU HAR KRISHAN NAGAR PASCHIM VIHAR NEW DELHI,"(28.61, 77.23)",28.65007,77.159875
GREEN VALLEY SCHOOL,MADHYA PRADESH,AJMER,KOLAR ROAD BHOPAL MADHYA PRADESH,"(26.4499, 74.6399)",26.398416,74.651659
BOKARO PUBLIC SCHOOL,JHARKHAND,PATNA,SECTOR 3-C BOKARO STEEL CITY DISTT BOKARO JHARKHAND,"(25.6, 85.1)",25.642266,85.026717
SOUTH POINT PUBLIC SCHOOL,HARYANA,PANCHKULA,PURKHAS ROAD NEAR SUGAR MILL RLY CROSSING SONEPAT HARYANA,"(30.74, 76.8)",30.836041,76.806427
KENDRIYA VIDYALAYA,RAJASTHAN,AJMER,SRI GANGANAGAR CANTT RAJASTHAN,"(26.4499, 74.6399)",26.419423,74.660775
