name,state,address,city,city_location,latitude,longitude
PARAMJYOTI PUBLIC SCHOOL,ANDHRA PRADESH,NEAR RED BRIDGE AMALAPURAM EAST GODAVARI-533 201,AMALAPURAM,"(16.5787, 82.0061)",16.508015,82.045543
VIJAYAVANI RESIDENTIAL SCHOOL,ANDHRA PRADESH,VIJAYA VANI NAGAR CHOWDEPALLE CHOWDEPALLE CHITTOOR-517 257,CHITTOOR,"(13.216, 79.098)",13.22766,79.047211
LOYOLA PUBLIC SCHOOL,ANDHRA PRADESH,"NALLAPADU, LOYOLA NAGAR GUNTUR-522 005",GUNTUR,"(16.3008, 80.4428)",16.260156,80.492409
LITTLE FLOWER ENGLISH MEDIUM SCHOOL,ANDHRA PRADESH,VIDYA NAGAR VIDYA NAGAR GUNTUR-522 007,GUNTUR,"(16.3008, 80.4428)",16.283366,80.353117
THE HYDERABAD PUBLIC SCHOOL,ANDHRA PRADESH,HYDERABAD BEGUMPET HYDERABAD-500 016,HYDERABAD,"(17.385, 78.4867)",17.366359,78.468706
ST. GEORGE'S GRAMMAR SCHOOL,ANDHRA PRADESH,ABID ROAD HYDERABAD-500 001,HYDERABAD,"(17.385, 78.4867)",17.335037,78.440286
ST. GEORGE'S GIRLS' GRAMMAR SCHOOL,ANDHRA PRADESH,KING KOTHI ROAD HYDERABAD-500 001,HYDERABAD,"(17.385, 78.4867)",17.287848,78.512
VIDYARANYA HIGH SCHOOL FOR BOYS & GIRLS,ANDHRA PRADESH,GREEN GATES SAIFABAD HYDERABAD-500 063,HYDERABAD,"(17.385, 78.4867)",17.4796,78.560529
NALANDA PUBLIC SCHOOL,ANDHRA PRADESH,"12 - 2 - 712, NANALNAGAR MEHDIPATNAM HYDERABAD-500 028",HYDERABAD,"(17.385, 78.4867)",17.478893,78.581068
NASR SCHOOL,ANDHRA PRADESH,"6 - 2 - 905, KHUSHNUMA KHAIRATABAD HYDERABAD-500 004",HYDERABAD,"(17.385, 78.4867)",17.362258,78.390226
ST. JOSEPH'S PUBLIC SCHOOL,ANDHRA PRADESH,3-5-781 &781 /A KING KOTHI ROAD HYDERABAD-500 029,HYDERABAD,"(17.385, 78.4867)",17.321381,78.5288
SRI SAI PUBLIC SCHOOL,ANDHRA PRADESH,"8 / 25, HABSIGUDA HYDERABAD-500 007",HYDERABAD,"(17.385, 78.4867)",17.400985,78.448547
SEVENTH DAY ADVENTIST HIGH SCHOOL,ANDHRA PRADESH,CHAPEL ROAD CHAPEL ROAD HYDERABAD-500 001,HYDERABAD,"(17.385, 78.4867)",17.365351,78.536174
JOHNSON GRAMMAR SCHOOL,ANDHRA PRADESH,H. NO.- 16/A MALLAPUR ROAD HYDERABAD RANGAREDDY-500 076,HYDERABAD,"(17.385, 78.4867)",17.355059,78.528452
ST. MARTIN'S HIGH SCHOOL,ANDHRA PRADESH,FEROZGUDA BOWENPALLY HYDERABAD-500 011,HYDERABAD,"(17.385, 78.4867)",17.286183,78.517313
GITANJALI SCHOOL,ANDHRA PRADESH,BEGUMPET HYDERABAD-500 016,HYDERABAD,"(17.385, 78.4867)",17.4281,78.528679
NIRAJ PUBLIC SCHOOL,ANDHRA PRADESH,"6 - 3 - 864, SAADAT MANZIL AMEERPET HYDERABAD-500 016",HYDERABAD,"(17.385, 78.4867)",17.379081,78.570924
ST. JOSEPH'S CONVENT SCHOOL,ANDHRA PRADESH,CHURCH SQUARE JAGANNAICKPUR KAKINADA EAST GODAVARI-533 002,KAKINADA,"(16.9661, 82.255)",17.027512,82.266662
ST. FRANCIS E.M.B HIGH SCHOOL,ANDHRA PRADESH,MACHILIPATNAM KRISHNA-521 002,PATNA,"(25.6, 85.1)",25.562849,85.081996
VASISHTA SCHOOL,ANDHRA PRADESH,POST BOX NO. 29 VIDYA NAGAR MADANAPALLE CHITTOOR-517 325,MADANAPALLE,"(13.55, 78.5)",13.595509,78.522435
FLAIZ MEMORIAL HIGHER SECONDARY SCHOOL OF S.D.A.,ANDHRA PRADESH,RUSTUMBADA NARSAPUR WEST GODAVARI-534 271,NARSAPUR,"(17.7374, 78.2805)",17.64274,78.311481
SIMHAPURI PUBLIC SCHOOL,ANDHRA PRADESH,KOMMARE PUDI (POST) NELLORE-524 004,NELLORE,"(14.45, 79.99)",14.449084,79.965606
ONGOLE PUBLIC SCHOOL,ANDHRA PRADESH,"GAUTHAMA NAGAR, MANGAMUR ROAD ONGOLE PRAKASAM-523 002",NAWA NAGAR NIZAMAT,"(26.2895, 84.9351)",26.198789,85.01772
S.D.A. HIGHER SECONDARY SCHOOL,ANDHRA PRADESH,KRISHNA NUZVID KRISHNA-521 201,NUZVID,"(16.78, 80.85)",16.724351,80.9043
ST. ANN'S CONVENT SCHOOL,ANDHRA PRADESH,P.O. PATHAPATNAM SRIKAKULAM-532 213,PATNA,"(25.6, 85.1)",25.586267,85.011025
ST. ANN'S SCHOOL,ANDHRA PRADESH,NIDUBROLU P. O. PONNUR GUNTUR-522 123,GUNTUR,"(16.3008, 80.4428)",16.290844,80.364872
ST. ANN'S SCHOOL,ANDHRA PRADESH,GURUKULAM ROAD RAJAHMUNDRY EAST GODAVARI-533 101,RAJAHMUNDRY,"(16.98, 81.78)",17.014285,81.683274
SRI SATHYA SAI GURUKULAM E.M. SCHOOL,ANDHRA PRADESH,RAJAHMUNDRY RAJAHMUNDRY EAST GODAVARI-533 101,RAJAHMUNDRY,"(16.98, 81.78)",16.959683,81.719915
RISHI VALLEY SCHOOL,ANDHRA PRADESH,", RISHI VALLEY CHITTOOR-517 352",CHITTOOR,"(13.216, 79.098)",13.206251,79.019043
ST. ANN'S HIGH SCHOOL,ANDHRA PRADESH,S.D. ROAD SECUNDERABAD HYDERABAD-500 003,HYDERABAD,"(17.385, 78.4867)",17.483058,78.510705
SIVA SIVANI PUBLIC SCHOOL,ANDHRA PRADESH,"DEVAR YAMJAL, VIA HAKIMPET SECUNDERABAD HYDERABAD-500 014",HYDERABAD,"(17.385, 78.4867)",17.378719,78.507297
SHERWOOD PUBLIC SCHOOL,ANDHRA PRADESH,"PETBASHEERABAD, JEEDIMETLA VILLAGE SECUNDERABAD HYDERABAD-500 067",HYDERABAD,"(17.385, 78.4867)",17.472303,78.571666
ST. JOHN'S PARISH SCHOOL,ANDHRA PRADESH,THOMPSON STREET NEAR OLD POST OFFICE VISAKHAPATNAM-530 001,VISHAKHAPATNAM,"(17.7042, 83.2978)",17.654992,83.36087
TIMPANY SCHOOL,ANDHRA PRADESH,ASEELMETTA VISAKHAPATNAM-530 003,PATNA,"(25.6, 85.1)",25.661754,85.002456
ST. ALOYSIUS ANGLO - INDIAN HIGH SCHOOL,ANDHRA PRADESH,OLD POST OFFICE VISAKHAPATNAM-530 001,PATNA,"(25.6, 85.1)",25.533973,85.110807
ST. JOSEPH'S GIRLS' HIGH SCHOOL,ANDHRA PRADESH,RS WALTAIR R.S. VISAKHAPATNAM-530 004,PATNA,"(25.6, 85.1)",25.53414,85.152452
ST. JOSEPH'S SEC. SCHOOL,ANDHRA PRADESH,OPP: HPCL GATE MALKAPURAM VISAKHAPATNAM-530 011,MALKAPUR,"(20.885, 76.2)",20.980553,76.292318
ALWARDAS PUBLIC SCHOOL,ANDHRA PRADESH,"SECTOR 10 M.V,.P. COLONY VISAKHAPATNAM-530 017",VISHAKHAPATNAM,"(17.7042, 83.2978)",17.635399,83.380101
ST. ANN'S ENG. MED. SCHOOL,ANDHRA PRADESH,NAD KOTHA ROAD BUTCHIRAJUPALEM VISAKHAPATNAM-530 027,RAJUPALEM,"(15.1378, 79.9927)",15.16794,80.076286
KOTAK SALESIAN SCHOOL,ANDHRA PRADESH,CHINNA WALTAIR MAIN ROAD VISAKHAPATNAM-530 017,CHINNA SALEM,"(11.6342, 78.8741)",11.71367,78.929314
SEVENTH DAY ADVENTIST HIGH SCHOOL,ANDHRA PRADESH,BUNDER ROAD VIJAYAWADA KRISHNA-520 002,VIJAYAWADA,"(16.5193, 80.6305)",16.592246,80.635971
SPRING DALES PUBLIC SCHOOL,ANDHRA PRADESH,"2 / 72, HIGH SCHOOL ROAD NEW GAJUWAKA VISAKHAPATNAM-530 026",NEW DELHI,"(28.6139, 77.209)",28.574592,77.275136
GOOD SHEPHERD E.M. SCHOOL,ANDHRA PRADESH,ANAKAPALLE VISAKHAPATNAM-531 002,PATNA,"(25.6, 85.1)",25.561909,85.120249
ST. ANN'S  E.M. SCHOOL,ANDHRA PRADESH,PADERU P. O. VISAKHAPATNAM-531 024,PATNA,"(25.6, 85.1)",25.657932,85.129077
BHUVANAGIRI PUBLIC SCHOOL,ANDHRA PRADESH,KRISHNAVENI NAGAR RLY. STN. KODUR KUKKALADODDI KADAPA-516 101,NAWA NAGAR NIZAMAT,"(26.2895, 84.9351)",26.33755,84.961647
ST. ANN'S SCHOOL,ANDHRA PRADESH,MARIAMPET CHIRALA PRAKASAM-523 157,CHIRALA,"(15.8246, 80.3521)",15.798582,80.377704
