name,code,address,state,off_ph_no,off_ph_no_2,fax_no,email,website,gender,res_type,aff_type,is_icse,is_isc,is_cve,princi_name
Paramjyoti Public School,AP001,Near Red Bridge Amalapuram East Godavari-533 201,ANDHRA PRADESH,8019030155,08856238726,08856230154,icse.rb@paramjyotischools.in,ap001cisce.org,Co-ed.,D/R,Permanent,True,False,False,M. Krupal Prasada Rao
Vijayavani Residential School,AP002,Vijaya Vani Nagar Chowdepalle Chowdepalle Chittoor-517 257,ANDHRA PRADESH,08581208075,,08581256213,staff@ap002cisce.org,ap002cisce.org,Co-ed.,,Provisional,True,False,False,Joythirani Pagadala
Loyola Public School,AP003,"Nallapadu, Loyola Nagar Guntur-522 005",ANDHRA PRADESH,08632291034,08632290268,08632291034,head@ap003cisce.org,ap003cisce.org,Co-ed.,D/R,Provisional,True,True,False,Uvari Antony S.j.
Little Flower English Medium School,AP004,Vidya Nagar Vidya Nagar Guntur-522 007,ANDHRA PRADESH,08632350535,08632350161,,lfsgnt@yahoo.com,ap004cisce.org,Co-ed.,Day,Permanent,True,False,False,Amalavathi Vangalapudi
The Hyderabad Public School,AP005,Hyderabad Begumpet Hyderabad-500 016,ANDHRA PRADESH,04027761546,04027765613,04027764698,staff@ap005cisce.org,ap005cisce.org,Co-ed.,D/R,Provisional,True,True,False,Ramandeep Kaur Samra
St. George's Grammar School,AP006,Abid Road Hyderabad-500 001,ANDHRA PRADESH,04023232213,,,sggs.boys@yahoo.com,ap006cisce.org,Boys,Day,Provisional,True,True,False,B Ruth Prakashmani .lajwanti
St. George's Girls' Grammar School,AP007,King Kothi Road Hyderabad-500 001,ANDHRA PRADESH,04023232447,,,head@ap007cisce.org,ap007cisce.org,Girls,Day,Provisional,True,True,False,Esther Jyothsna
Vidyaranya High School For Boys & Girls,AP008,Green Gates Saifabad Hyderabad-500 063,ANDHRA PRADESH,04023235146,04023237789,04023237789,vidyaranya.hs@gmail.com,ap008cisce.org,Co-ed.,Day,Permanent,True,False,False,Nahid Ainul
Nalanda Public School,AP009,"12 - 2 - 712, Nanalnagar Mehdipatnam Hyderabad-500 028",ANDHRA PRADESH,4023513913,9553722244,,nalandaps@yahoo.in,ap009cisce.org,Co-ed.,Day,Permanent,True,False,False,S. K. Veena
Nasr School,AP010,"6 - 2 - 905, Khushnuma Khairatabad Hyderabad-500 004",ANDHRA PRADESH,04023307555,04023322851,04023328875,girls@nasrschool.in,ap010cisce.org,Girls,Day,Permanent,True,True,False,Madhubala Kapoor
St. Joseph's Public School,AP015,3-5-781 &781 /A King Kothi Road Hyderabad-500 029,ANDHRA PRADESH,04023235665,04023231221,,head@ap015cisce.org,ap015cisce.org,Co-ed.,Day,Permanent,True,True,False,Gregory Reddy
Sri Sai Public School,AP016,"8 / 25, Habsiguda Hyderabad-500 007",ANDHRA PRADESH,04027172691,04027152348,04027151997,srisaipublicschool@gmail.com,ap016cisce.org,Co-ed.,Day,Permanent,True,False,False,Ruby Antony
Seventh Day Adventist High School,AP017,Chapel Road Chapel Road Hyderabad-500 001,ANDHRA PRADESH,04023203611,,,head@ap017cisce.org,ap017cisce.org,Co-ed.,Day,Permanent,True,False,False,Solomon Raj Nethala
Johnson Grammar School,AP018,H. No.- 16/a Mallapur Road Hyderabad Rangareddy-500 076,ANDHRA PRADESH,04027173333,07661046644,04027171683,head@ap018cisce.org,ap018cisce.org,Co-ed.,Day,Permanent,True,True,False,Anil Israel
St. Martin's High School,AP021,Ferozguda Bowenpally Hyderabad-500 011,ANDHRA PRADESH,04023774208,04023778018,04023774208,smhshyd@gmail.com,ap021cisce.org,Co-ed.,Day,Permanent,True,False,False,Megha Sen
Gitanjali School,AP022,Begumpet Hyderabad-500 016,ANDHRA PRADESH,04027768395,04027768420,04030628392,head@ap022cisce.org,ap022cisce.org,Co-ed.,Day,Permanent,True,True,False,Gita Karan
Niraj Public School,AP023,"6 - 3 - 864, Saadat Manzil Ameerpet Hyderabad-500 016",ANDHRA PRADESH,04023413543,04066661486,04066612646,info@nirajpublicschool.com,ap023cisce.org,Co-ed.,Day,Permanent,True,False,False,Mrs. B. Jyothi Reddy
St. Joseph's Convent School,AP024,Church Square Jagannaickpur Kakinada East Godavari-533 002,ANDHRA PRADESH,08842384664,09000498284,,head@ap024cisce.org,ap024cisce.org,Girls,Day,Permanent,True,False,False,Sister Francisca
St. Francis E.M.B High School,AP026,Machilipatnam Krishna-521 002,ANDHRA PRADESH,08672250742,08672250181,,stfrancisems@yahoo.co.in,ap026cisce.org,Co-ed.,Day,Permanent,True,False,False,Shiny Thomas
Vasishta School,AP028,Post Box No. 29 Vidya Nagar Madanapalle Chittoor-517 325,ANDHRA PRADESH,08571230227,08571230886,,vasishtaicse@gmail.com,ap028cisce.org,Co-ed.,D/R,Permanent,True,True,False,Neena P. Nair
Flaiz Memorial Higher Secondary School Of S.D.A.,AP029,Rustumbada Narsapur West Godavari-534 271,ANDHRA PRADESH,08814273905,08814273903,277286,flaizcollege@yahoo.com,ap029cisce.org,Co-ed.,D/R,Permanent,True,True,False,T. Christian Raju
Simhapuri Public School,AP030,Kommare Pudi (Post) Nellore-524 004,ANDHRA PRADESH,9391088905,9391088905,,simhapuripublicschoolicse@gmail.com,ap030cisce.org,Co-ed.,,Permanent,True,True,False,Mukkara Ravi Rajashekhar
Ongole Public School,AP032,"Gauthama Nagar, Mangamur Road Ongole Prakasam-523 002",ANDHRA PRADESH,08592233284,,,head@ap032cisce.org,ap032cisce.org,Co-ed.,D/R,Provisional,True,False,False,Kavitha Latha Kadhiresan
S.d.a. Higher Secondary School,AP033,Krishna Nuzvid Krishna-521 201,ANDHRA PRADESH,08656232302,08656233448,08656232302,head@ap033cisce.org,ap033cisce.org,Co-ed.,D/R,Permanent,True,True,False,A Sunil Kumar
St. Ann's Convent School,AP034,P.O. Pathapatnam Srikakulam-532 213,ANDHRA PRADESH,08946255345,08946255841,,stanns.ppm@gmail.com,ap034cisce.org,Co-ed.,D/R,Permanent,True,False,False,Leema Rose
St. Ann's School,AP035,Nidubrolu P. O. Ponnur Guntur-522 123,ANDHRA PRADESH,08643242724,09545548862,08643242724,stanns06@gmail.com,ap035cisce.org,Co-ed.,Day,Permanent,True,False,False,Cleophas
St. Ann's School,AP036,Gurukulam Road Rajahmundry East Godavari-533 101,ANDHRA PRADESH,08832420479,,08832420479,annsrjy@gmail.com,ap036cisce.org,Co-ed.,Day,Permanent,True,False,False,Jancy Kuttry Jacob
Sri Sathya Sai Gurukulam E.M. School,AP037,Rajahmundry Rajahmundry East Godavari-533 101,ANDHRA PRADESH,08832430989,,08832430989,srisathyasaigurukulam@rediffmail.com,ap037cisce.org,Boys,,Provisional,True,False,False,P.v.s. Suresh Kumar
Rishi Valley School,AP038,", Rishi Valley Chittoor-517 352",ANDHRA PRADESH,08571280044,08571280622,08571280261,head@ap038cisce.org,ap038cisce.org,Co-ed.,,Provisional,True,True,False,Siddhartha Menon
St. Ann's High School,AP039,S.d. Road Secunderabad Hyderabad-500 003,ANDHRA PRADESH,04027701318,04027804108,,head@ap039cisce.org,ap039cisce.org,Girls,Day,Provisional,True,True,False,Kochuthressia V
Siva Sivani Public School,AP040,"Devar Yamjal, Via Hakimpet Secunderabad Hyderabad-500 014",ANDHRA PRADESH,08418248353,08418248552,08418248552,sivasivanihyd040@gmail.com,ap040cisce.org,Co-ed.,D/R,Permanent,True,True,False,Sudhir K. Sampathy
Sherwood Public School,AP042,"Petbasheerabad, Jeedimetla Village Secunderabad Hyderabad-500 067",ANDHRA PRADESH,04064512584,,04042402214,head@ap042cisce.org,ap042cisce.org,Co-ed.,Day,Permanent,True,True,False,K. Thomas
St. John's Parish School,AP043,Thompson Street Near Old Post Office Visakhapatnam-530 001,ANDHRA PRADESH,08912561334,08912564391,08912561334,head@ap043cisce.org,ap043cisce.org,Co-ed.,Day,Permanent,True,False,False,K. Hannah Esther
Timpany School,AP044,Aseelmetta Visakhapatnam-530 003,ANDHRA PRADESH,08912755887,08912754419,08912793019,head@ap044cisce.org,ap044cisce.org,Co-ed.,Day,Permanent,True,True,False,Nalini Nelson
St. Aloysius Anglo - Indian High School,AP045,Old Post Office Visakhapatnam-530 001,ANDHRA PRADESH,08912562837,,,staloysiusvizag@gmail.com,ap045cisce.org,Boys,D/R,Permanent,True,False,False,Fr. P. Raja Reddy
St. Joseph's Girls' High School,AP046,Rs Waltair R.S. Visakhapatnam-530 004,ANDHRA PRADESH,08912558279,08912550192,08912565884,head@ap046cisce.org,ap046cisce.org,Girls,Day,Permanent,True,False,False,Maria Rani
St. Joseph's Sec. School,AP047,Opp: Hpcl Gate Malkapuram Visakhapatnam-530 011,ANDHRA PRADESH,08912741632,,08912752505,stjosephmkp@gmail.com,ap047cisce.org,Co-ed.,Day,Permanent,True,False,False,Anice Thomas
Alwardas Public School,AP048,"Sector 10 M.V,.P. Colony Visakhapatnam-530 017",ANDHRA PRADESH,08912552718,08912563553,08912567586,info@apsvizag.edu.in,ap048cisce.org,Co-ed.,Day,Permanent,True,True,False,Panga Mercy Nelson
St. Ann's Eng. Med. School,AP049,Nad Kotha Road Butchirajupalem Visakhapatnam-530 027,ANDHRA PRADESH,08912571037,08912728137,08912571037,head@ap049cisce.org,ap049cisce.org,Co-ed.,Day,Permanent,True,False,False,Staji George A
Kotak Salesian School,AP050,Chinna Waltair Main Road Visakhapatnam-530 017,ANDHRA PRADESH,08912754826,08912713534,08912754826,head@ap050cisce.org,ap050cisce.org,Co-ed.,Day,Permanent,True,False,False,Jonnalagadda Lourdu Ravi Kumar
Seventh Day Adventist High School,AP051,Bunder Road Vijayawada Krishna-520 002,ANDHRA PRADESH,08662572284,,,rajanbabu1710@yahoo.com,ap051cisce.org,Co-ed.,Day,Provisional,True,False,False,Rajan Babu Undrasapu
Spring Dales Public School,AP052,"2 / 72, High School Road New Gajuwaka Visakhapatnam-530 026",ANDHRA PRADESH,08912517485,,,springdalesvskp@gmail.com,ap052cisce.org,Co-ed.,Day,Provisional,True,False,False,Molay Kumar Chatterjee
Good Shepherd E.M. School,AP053,Anakapalle Visakhapatnam-531 002,ANDHRA PRADESH,08924230777,,,goodshepherd_1978@yahoo.com,ap053cisce.org,Co-ed.,Day,Permanent,True,False,False,I. Faith
St. Ann's  E.m. School,AP054,Paderu P. O. Visakhapatnam-531 024,ANDHRA PRADESH,08935250420,,,head@ap054cisce.org,ap054cisce.org,Co-ed.,D/R,Permanent,True,False,False,Rosili Cherian
Bhuvanagiri Public School,AP055,Krishnaveni Nagar Rly. Stn. Kodur Kukkaladoddi Kadapa-516 101,ANDHRA PRADESH,9494834476,9494834476,09494834476,bhuvanagiripublicschool1982l@gmail.com,ap055cisce.org,Co-ed.,,Provisional,True,True,False,O. Vidyasri
St. Ann's School,AP056,Mariampet Chirala Prakasam-523 157,ANDHRA PRADESH,08594230156,,,stannschirala@yahoo.com,ap056cisce.org,Co-ed.,D/R,Permanent,True,False,False,Ancilin Joseph
St. Joseph's High School,AP057,Convent Road Srikakulam-532 001,ANDHRA PRADESH,08942225194,,,josephskl@yahoo.in,ap057cisce.org,Co-ed.,Day,Permanent,True,False,False,George Mary
Nava Jeevan Public School,AP058,Charity Center Bhimli P.o. Box No. 3 Dora Thota Visakhapatnam-531 163,ANDHRA PRADESH,08933200083,08933201061,08912229514,mktitus@hotmail.com,ap058cisce.org,Co-ed.,D/R,Permanent,True,False,False,Prakash Terapally
Shantiniketan English Medium School,AP059,"Vidya Nagar, Kutagulla Kadiri Anantapur-515 541",ANDHRA PRADESH,08494224329,,08494225602,santiniketan.ktl@rediffmail.com,ap059cisce.org,Co-ed.,,Permanent,True,False,False,Pulaganti Chandra Sekhar
Mukarram Jah School,AP060,Purani Haveli Hyderabad-500 002,ANDHRA PRADESH,04024564494,04024522184,,head@ap060cisce.org,ap060cisce.org,Co-ed.,Day,Permanent,True,False,False,Faqrunissa Faheem
Queen Mary's School,AP062,Super Bazar Road Prodatur Kadapa-516 360,ANDHRA PRADESH,08564252620,,,qmarysschool@gmail.com,ap062cisce.org,Co-ed.,Day,Provisional,True,False,False,Stella Bharthi Palagiri
Fort Catholic Girls' School,AP064,Old Post Office Fort Visakhapatnam-530 001,ANDHRA PRADESH,08912502981,,,head@ap064cisce.org,ap064cisce.org,Girls,Day,Permanent,True,False,False,Rose .
Samaritan School,AP065,"37 / 93 / 56, Mathura Nagar R.K. Puram Secunderabad Hyderabad-500 094",ANDHRA PRADESH,04027112513,,,samaritans.icse@gmail.com,ap065cisce.org,Co-ed.,Day,Provisional,True,False,False,Aparanjini Pulukuri
St. Joseph's High School,AP066,Yendapallivalsa Araku R.S. Visakhapatnam-531 151,ANDHRA PRADESH,08936249005,,,sjhsaraku@gmail.com,ap066cisce.org,Co-ed.,D/R,Permanent,True,False,False,Parimala .
International School,AP067,"8-1-300 /1, Shaikpet Towli Chowki Hyderabad-500 008",ANDHRA PRADESH,04023561085,04023560983,04023560890,international_school@rediffmail.com,ap067cisce.org,Co-ed.,Day,Permanent,True,False,False,V. Lakshmi
St. Mary's Public School,AP068,Shanthi Nagar Kavali Nellore-524 201,ANDHRA PRADESH,08626297499,08626297499,08626297499,head@ap068cisce.org,ap068cisce.org,Co-ed.,,Provisional,True,False,False,K. Prabhavathi
